#CR,          w_a=1.0,      w_a=0.9,      w_a=0.8,      w_a=0.7,      w_a=0.6,      w_a=0.5,      w_a=0.4,      w_a=0.3,      w_a=0.2,      w_a=0.1,      w_a=0.0
0.0500,       0.0500,       2.0450,       4.0400,       6.0350,       8.0300,       10.0250,      12.0200,      14.0150,      16.0100,      18.0050,      20.0000
0.1000,       0.1000,       1.0900,       2.0800,       3.0700,       4.0600,       5.0500,       6.0400,       7.0300,       8.0200,       9.0100,       10.0000
0.1500,       0.1500,       0.8017,       1.4533,       2.1050,       2.7567,       3.4083,       4.0600,       4.7117,       5.3633,       6.0150,       6.6667
0.2000,       0.2000,       0.6800,       1.1600,       1.6400,       2.1200,       2.6000,       3.0800,       3.5600,       4.0400,       4.5200,       5.0000
0.2500,       0.2500,       0.6250,       1.0000,       1.3750,       1.7500,       2.1250,       2.5000,       2.8750,       3.2500,       3.6250,       4.0000
0.3000,       0.3000,       0.6033,       0.9067,       1.2100,       1.5133,       1.8167,       2.1200,       2.4233,       2.7267,       3.0300,       3.3333
0.3500,       0.3500,       0.6007,       0.8514,       1.1021,       1.3529,       1.6036,       1.8543,       2.1050,       2.3557,       2.6064,       2.8571
0.4000,       0.4000,       0.6100,       0.8200,       1.0300,       1.2400,       1.4500,       1.6600,       1.8700,       2.0800,       2.2900,       2.5000
0.4500,       0.4500,       0.6272,       0.8044,       0.9817,       1.1589,       1.3361,       1.5133,       1.6906,       1.8678,       2.0450,       2.2222
0.5000,       0.5000,       0.6500,       0.8000,       0.9500,       1.1000,       1.2500,       1.4000,       1.5500,       1.7000,       1.8500,       2.0000
0.5500,       0.5500,       0.6768,       0.8036,       0.9305,       1.0573,       1.1841,       1.3109,       1.4377,       1.5645,       1.6914,       1.8182
0.6000,       0.6000,       0.7067,       0.8133,       0.9200,       1.0267,       1.1333,       1.2400,       1.3467,       1.4533,       1.5600,       1.6667
0.6500,       0.6500,       0.7388,       0.8277,       0.9165,       1.0054,       1.0942,       1.1831,       1.2719,       1.3608,       1.4496,       1.5385
0.7000,       0.7000,       0.7729,       0.8457,       0.9186,       0.9914,       1.0643,       1.1371,       1.2100,       1.2829,       1.3557,       1.4286
0.7500,       0.7500,       0.8083,       0.8667,       0.9250,       0.9833,       1.0417,       1.1000,       1.1583,       1.2167,       1.2750,       1.3333
0.8000,       0.8000,       0.8450,       0.8900,       0.9350,       0.9800,       1.0250,       1.0700,       1.1150,       1.1600,       1.2050,       1.2500
0.8500,       0.8500,       0.8826,       0.9153,       0.9479,       0.9806,       1.0132,       1.0459,       1.0785,       1.1112,       1.1438,       1.1765
0.9000,       0.9000,       0.9211,       0.9422,       0.9633,       0.9844,       1.0056,       1.0267,       1.0478,       1.0689,       1.0900,       1.1111
0.9500,       0.9500,       0.9603,       0.9705,       0.9808,       0.9911,       1.0013,       1.0116,       1.0218,       1.0321,       1.0424,       1.0526
1.0000,       1.0000,       1.0000,       1.0000,       1.0000,       1.0000,       1.0000,       1.0000,       1.0000,       1.0000,       1.0000,       1.0000
