#Block_Size       1       3      5       7      9       1e     3e     5e     7e     9e
1           6.92   6.45   6.0   5.86   4.21   0.32   0.32   0.29   0.36   0.36
2           7.19   7.5   6.84   6.56   5.12   0.3   0.79   0.29   0.36   0.26
4           7.69   7.41   8.36   7.12   5.84   0.26   0.34   0.64   0.42   0.22
8           8.37   7.69   8.12   7.38   6.76   0.22   0.22   0.67   0.23   0.22
16           9.48   8.83   8.49   7.96   8.91   0.24   0.23   0.22   0.26   0.44
32           11.58   9.45   10.97   9.24   10.04   0.46   0.65   0.65   0.32   0.72
64           14.5   14.39   13.3   14.2   13.12   0.39   0.39   0.37   0.65   0.35
80           14.99   14.76   14.16   13.76   13.66   0.33   0.33   0.32   0.3   0.28


